"Algorithm","Hash","Path"
"SHA256","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","C:\LAB3\Evidence\auth_events_before_rotation.txt"
"SHA256","188F0F2784829958D46C80702EFE314B11784067EAA4F80656087510D893BC85","C:\LAB3\Evidence\autoruns_after.csv"
"SHA256","1B8ABE4DA869EA369C4AA59A1D324A01826714FD4B30F6EBAE03534AB1C45A06","C:\LAB3\Evidence\autoruns_before.csv"
"SHA256","115F60753769926F3060444044D5047A4A4D1B1F659655BD27D275503616ACE9","C:\LAB3\Evidence\autoruns_diff.txt"
"SHA256","C2EDC80AAF262CDA1247CEE29EF5D60B9FB81B769DBFDAFF171BEB4C35F9F16C","C:\LAB3\Evidence\baseline_defender.txt"
"SHA256","B80E9FB3B44AD4EA533862EE95212A6DAAD91BD3554E9BF9A66D58FF542FDA47","C:\LAB3\Evidence\baseline_firewall.txt"
"SHA256","671101D5B70EC5233903DAEB096D9DABC65FCAA447C192D64D24A6F519DBF5E1","C:\LAB3\Evidence\baseline_network.txt"
"SHA256","09972C274C7191071E7778437D8DE164B78282640D71DA823884EFC14852AD4A","C:\LAB3\Evidence\baseline_os.txt"
"SHA256","3259CDCB5F2B4DA0F28E3B21497DA5F073A60E68DF53D7F883661D7D4BB4F8E7","C:\LAB3\Evidence\baseline_processes.txt"
"SHA256","4BBA8DBF78DE32D9619C5D1450DC9480358DC4FB519160787CC0C8A11F30AA6E","C:\LAB3\Evidence\dos_connections.txt"
"SHA256","5B726692BEFC9CE6B935B8081A1161F969DADDBDD921299416910EB3A8A1D702","C:\LAB3\Evidence\eicar.com.txt"
"SHA256","5756BA3C14D37A2897064D5229442D37C656932AFCA4B95F47CB5023ED6E3CAB","C:\LAB3\Evidence\local_load_test.txt"
"SHA256","E7FD8D985E5F9B042B92A2DA6E06077815242EE5293D38BD074AD5476AB0D24E","C:\LAB3\Evidence\mail_sender_counts.txt"
"SHA256","2AB9646BC50CE4D3326BA3B3A2F28583D23FA2E3E7B26A54081E06D8A3A5AD96","C:\LAB3\Evidence\mail_volume.txt"
"SHA256","4F1F535D6F5EE68ACEB625642BBF8DAD8719DA637713A6740B30E76853903932","C:\LAB3\Evidence\start_time.txt"
"SHA256","BF0929CB5A845E8ECA768F970B72E2A44F0903DF7046EE05762805EA4A7E6EC8","C:\LAB3\Evidence\sysmon_persistence.txt"
"SHA256","365EF3277CEBC3E7D18655CEAA7DB34800EB56A5BAD928E89E866CD6B1522648","C:\LAB3\Evidence\task_ran.txt"
